city,date,confirmed,deaths
Barra do Mendes,2021-05-17,656,11
Barra do Rocha,2021-05-17,382,5
Barreiras,2021-05-17,14318,229
Barro Alto,2021-05-17,750,8
Barrocas,2021-05-17,696,19
Barro Preto,2021-05-17,561,10
Belmonte,2021-05-17,928,18
Belo Campo,2021-05-17,705,9
Biritinga,2021-05-17,330,6
Boa Nova,2021-05-17,766,11
Boa Vista do Tupim,2021-05-17,200,4
Bom Jesus da Lapa,2021-05-17,3842,55
Bom Jesus da Serra,2021-05-17,415,8
Boninal,2021-05-17,570,7
Bonito,2021-05-17,682,10
Boquira,2021-05-17,473,10
Botuporã,2021-05-17,188,3
Brejões,2021-05-17,566,9
Brejolândia,2021-05-17,129,8
Brotas de Macaúbas,2021-05-17,72,1
Brumado,2021-05-17,8327,169
Buerarema,2021-05-17,1244,37
Buritirama,2021-05-17,805,19
Caatiba,2021-05-17,748,9
Cabaceiras do Paraguaçu,2021-05-17,470,4
Cachoeira,2021-05-17,1314,19
Caculé,2021-05-17,1352,11
Caém,2021-05-17,426,7
Caetanos,2021-05-17,593,9
Caetité,2021-05-17,2066,21
Cafarnaum,2021-05-17,778,16
Cairu,2021-05-17,1067,12
Caldeirão Grande,2021-05-17,540,6
Camacan,2021-05-17,2505,67
Camaçari,2021-05-17,21057,534
Camamu,2021-05-17,2014,43
Campo Alegre de Lourdes,2021-05-17,632,23
Campo Formoso,2021-05-17,4224,53
Canápolis,2021-05-17,317,4
Canarana,2021-05-17,1347,25
Canavieiras,2021-05-17,1088,58
Candeal,2021-05-17,483,2
Candeias,2021-05-17,6463,140
Candiba,2021-05-17,551,12
Cândido Sales,2021-05-17,1649,45
Cansanção,2021-05-17,763,32
Canudos,2021-05-17,512,11
Capela do Alto Alegre,2021-05-17,766,14
Capim Grosso,2021-05-17,3294,20
Caraíbas,2021-05-17,254,2
Caravelas,2021-05-17,1222,11
Cardeal da Silva,2021-05-17,271,3
Carinhanha,2021-05-17,885,17
Casa Nova,2021-05-17,1933,48
Castro Alves,2021-05-17,1508,27
Catolândia,2021-05-17,171,1
Catu,2021-05-17,5050,76
Caturama,2021-05-17,197,6
Central,2021-05-17,357,14
Chorrochó,2021-05-17,179,11
Cícero Dantas,2021-05-17,1480,25
Cipó,2021-05-17,614,6
Coaraci,2021-05-17,1720,42
Cocos,2021-05-17,607,11
Conceição da Feira,2021-05-17,1283,22
Conceição do Almeida,2021-05-17,2037,19
Conceição do Coité,2021-05-17,7330,39
Conceição do Jacuípe,2021-05-17,2417,24
Conde,2021-05-17,765,11
Condeúba,2021-05-17,864,17
Contendas do Sincorá,2021-05-17,210,5
Coração de Maria,2021-05-17,1324,11
Cordeiros,2021-05-17,629,5
Coribe,2021-05-17,890,13
Coronel João Sá,2021-05-17,841,14
Correntina,2021-05-17,2070,28
Cotegipe,2021-05-17,451,14
Cravolândia,2021-05-17,344,2
Crisópolis,2021-05-17,329,9
Cristópolis,2021-05-17,678,5
Cruz das Almas,2021-05-17,4027,46
Curaçá,2021-05-17,978,24
Dário Meira,2021-05-17,799,12
Dias d'Ávila,2021-05-17,5048,134
Dom Basílio,2021-05-17,837,14
Dom Macedo Costa,2021-05-17,350,6
Elísio Medrado,2021-05-17,441,6
Encruzilhada,2021-05-17,584,15
Entre Rios,2021-05-17,1295,29
Érico Cardoso,2021-05-17,232,2
Esplanada,2021-05-17,1568,29
Euclides da Cunha,2021-05-17,2521,44
Eunápolis,2021-05-17,9642,156
Fátima,2021-05-17,877,11
Feira da Mata,2021-05-17,199,4
Feira de Santana,2021-05-17,41468,754
Filadélfia,2021-05-17,956,24
Firmino Alves,2021-05-17,307,9
Floresta Azul,2021-05-17,759,18
Formosa do Rio Preto,2021-05-17,855,18
Gandu,2021-05-17,2502,47
Gavião,2021-05-17,309,1
Gentio do Ouro,2021-05-17,322,5
Glória,2021-05-17,608,17
Gongogi,2021-05-17,461,8
Governador Mangabeira,2021-05-17,810,12
Guajeru,2021-05-17,300,4
Guanambi,2021-05-17,7088,77
Guaratinga,2021-05-17,1303,41
Heliópolis,2021-05-17,614,6
Iaçu,2021-05-17,1453,27
Ibiassucê,2021-05-17,406,1
Ibicaraí,2021-05-17,1908,53
Ibicoara,2021-05-17,629,10
Ibicuí,2021-05-17,1034,15
Ibipeba,2021-05-17,950,9
Ibipitanga,2021-05-17,897,15
Ibiquera,2021-05-17,110,6
Ibirapitanga,2021-05-17,1516,33
Ibirapuã,2021-05-17,951,14
